case:concept:name;case:flops;case:num_kernels
algorithm0;2.02e+05;3
algorithm2;9.79e+05;3
algorithm4;1.76e+06;3
algorithm1;2.02e+05;3
algorithm5;1.76e+06;3
algorithm3;9.79e+05;3
