case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm46;ml4 = qr_3.24e+07;3.24e+07;ml4 = qr!(ml4);(Q16 R17) = tmp14;2022-12-21 20:01:52.090288
algorithm46;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2022-12-21 20:01:53.090288
algorithm46;gemv_1.06e+05;1.06e+05;gemv!('T', 1.0, ml6, ml5, 0.0, ml7);tmp25 = (Q16^T tmp21);2022-12-21 20:01:54.090288
algorithm46;trsv_5.29e+04;5.29e+04;trsv!('U', 'N', 'N', ml8, ml7);tmp24 = (R17^-1 tmp25);2022-12-21 20:01:55.090288
algorithm17;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 19:13:26.090288
algorithm17;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 19:13:27.090288
algorithm17;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 19:13:28.090288
algorithm17;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 19:13:29.090288
algorithm17;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 19:13:30.090288
algorithm17;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-21 19:13:31.090288
algorithm17;LAPACK.potrf_4.06e+06;4.06e+06;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2022-12-21 19:13:32.090288
algorithm17;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2022-12-21 19:13:33.090288
algorithm17;trsv_5.29e+04;5.29e+04;trsv!('L', 'N', 'N', ml4, ml5);tmp23 = (L15^-1 tmp21);2022-12-21 19:13:34.090288
algorithm17;trsv_5.29e+04;5.29e+04;trsv!('L', 'T', 'N', ml4, ml5);tmp24 = (L15^-T tmp23);2022-12-21 19:13:35.090288
algorithm37;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 19:46:46.090288
algorithm37;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 19:46:47.090288
algorithm37;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 19:46:48.090288
algorithm37;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 19:46:49.090288
algorithm37;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 19:46:50.090288
algorithm37;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-21 19:46:51.090288
algorithm37;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2022-12-21 19:46:52.090288
algorithm37;ml4 = qr_3.24e+07;3.24e+07;ml4 = qr!(ml4);(Q16 R17) = tmp14;2022-12-21 19:46:53.090288
algorithm37;gemv_1.06e+05;1.06e+05;gemv!('T', 1.0, ml6, ml5, 0.0, ml7);tmp25 = (Q16^T tmp21);2022-12-21 19:46:54.090288
algorithm37;trsv_5.29e+04;5.29e+04;trsv!('U', 'N', 'N', ml8, ml7);tmp24 = (R17^-1 tmp25);2022-12-21 19:46:55.090288
algorithm66;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 20:35:06.090288
algorithm66;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 20:35:07.090288
algorithm66;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 20:35:08.090288
algorithm66;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 20:35:09.090288
algorithm66;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 20:35:10.090288
algorithm66;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml4);tmp21 = (tmp56 tmp71);2022-12-21 20:35:11.090288
algorithm66;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml5);tmp14 = (tmp12^T tmp12);2022-12-21 20:35:12.090288
algorithm66;ml6, ml5 = LAPACK.syev_4.06e+07;4.06e+07;ml6, ml5 = LAPACK.syev!('V', 'L', ml5);(Z18 W19 Z18^T) = tmp14;2022-12-21 20:35:13.090288
algorithm66;gemv_1.06e+05;1.06e+05;gemv!('T', 1.0, ml5, ml4, 0.0, ml7);tmp268 = (Z18^T tmp21);2022-12-21 20:35:14.090288
algorithm66;gemv_230;230;gemv!('N', 1.0, ml5, ml7, 0.0, ml8);tmp269 = (W19^-1 tmp268);2022-12-21 20:35:15.090288
algorithm95;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 21:23:26.090288
algorithm95;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 21:23:27.090288
algorithm95;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 21:23:28.090288
algorithm95;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 21:23:29.090288
algorithm95;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 21:23:30.090288
algorithm95;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-21 21:23:31.090288
algorithm95;LAPACK.potrf_4.06e+06;4.06e+06;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2022-12-21 21:23:32.090288
algorithm95;trsm_5.29e+07;5.29e+07;trsm!('L', 'L', 'N', 'N', 1.0, ml4, ml3);tmp219 = (L15^-1 tmp56);2022-12-21 21:23:33.090288
algorithm95;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp23 = (tmp219 tmp71);2022-12-21 21:23:34.090288
algorithm95;trsv_5.29e+04;5.29e+04;trsv!('L', 'T', 'N', ml4, ml5);tmp24 = (L15^-T tmp23);2022-12-21 21:23:35.090288
algorithm52;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 20:11:46.090288
algorithm52;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 20:11:47.090288
algorithm52;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 20:11:48.090288
algorithm52;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-21 20:11:49.090288
algorithm52;ml4, ml3 = LAPACK.syev_4.06e+07;4.06e+07;ml4, ml3 = LAPACK.syev!('V', 'L', ml3);(Z18 W19 Z18^T) = tmp14;2022-12-21 20:11:50.090288
algorithm52;gemv_4.6e+05;4.6e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml5);tmp21 = (tmp12^T tmp68);2022-12-21 20:11:51.090288
algorithm52;gemv_1.06e+05;1.06e+05;gemv!('T', 1.0, ml3, ml5, 0.0, ml6);tmp268 = (Z18^T tmp21);2022-12-21 20:11:52.090288
algorithm52;gemv_230;230;gemv!('N', 1.0, ml3, ml6, 0.0, ml7);tmp269 = (W19^-1 tmp268);2022-12-21 20:11:53.090288
algorithm13;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 19:06:46.090288
algorithm13;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 19:06:47.090288
algorithm13;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 19:06:48.090288
algorithm13;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 19:06:49.090288
algorithm13;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-21 19:06:50.090288
algorithm13;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 19:06:51.090288
algorithm13;LAPACK.potrf_4.06e+06;4.06e+06;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2022-12-21 19:06:52.090288
algorithm13;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2022-12-21 19:06:53.090288
algorithm13;trsv_5.29e+04;5.29e+04;trsv!('L', 'N', 'N', ml4, ml5);tmp23 = (L15^-1 tmp21);2022-12-21 19:06:54.090288
algorithm13;trsv_5.29e+04;5.29e+04;trsv!('L', 'T', 'N', ml4, ml5);tmp24 = (L15^-T tmp23);2022-12-21 19:06:55.090288
algorithm42;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-21 19:55:06.090288
algorithm42;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 19:55:07.090288
algorithm42;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 19:55:08.090288
algorithm42;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 19:55:09.090288
algorithm42;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-21 19:55:10.090288
algorithm42;syrk_5.29e+07;5.29e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-21 19:55:11.090288
algorithm42;ml4 = qr_3.24e+07;3.24e+07;ml4 = qr!(ml4);(Q16 R17) = tmp14;2022-12-21 19:55:12.090288
algorithm42;gemv_4.6e+05;4.6e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2022-12-21 19:55:13.090288
algorithm42;gemv_1.06e+05;1.06e+05;gemv!('T', 1.0, ml6, ml5, 0.0, ml7);tmp25 = (Q16^T tmp21);2022-12-21 19:55:14.090288
algorithm42;trsv_5.29e+04;5.29e+04;trsv!('U', 'N', 'N', ml8, ml7);tmp24 = (R17^-1 tmp25);2022-12-21 19:55:15.090288
algorithm85;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-21 21:06:46.090288
algorithm85;trsm_2.3e+08;2.3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-21 21:06:47.090288
algorithm85;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-21 21:06:48.090288
algorithm85;gemm_1.06e+08;1.06e+08;gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-21 21:06:49.090288
algorithm85;gemv_4.6e+05;4.6e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp21 = (tmp12^T tmp68);2022-12-21 21:06:50.090288
algorithm85;LAPACK.potrf_4.06e+06;4.06e+06;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2022-12-21 21:06:51.090288
