case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm2_13;LAPACK.potrf_3.33e+08;3.33e+08;(L2 L2^T) = M;LAPACK.potrf!('L', ml1);1.675790084794733e9;1.675790084797108e9
algorithm2_13;trsv_1e+06;1e+06;tmp68 = (L2^-1 y);trsv!('L', 'N', 'N', ml1, ml2);1.675790084797108e9;1.675790084797386e9
algorithm2_13;trsm_1.5e+08;1.5e+08;tmp12 = (L2^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.675790084797386e9;1.675790084798972e9
algorithm2_13;syrk_2.25e+07;2.25e+07;tmp14 = (tmp12^T tmp12);syrk!('L', 'T', 1.0, ml0, 0.0, ml3);1.675790084798972e9;1.675790084799258e9
algorithm2_13;LAPACK.potrf_1.12e+06;1.12e+06;(L15 L15^T) = tmp14;LAPACK.potrf!('L', ml3);1.675790084799258e9;1.675790084799449e9
algorithm2_13;gemv_3e+05;3e+05;tmp21 = (tmp12^T tmp68);gemv!('T', 1.0, ml0, ml2, 0.0, ml4);1.675790084799449e9;1.675790084799479e9
algorithm2_13;trsv_2.25e+04;2.25e+04;tmp23 = (L15^-1 tmp21);trsv!('L', 'N', 'N', ml3, ml4);1.675790084799479e9;1.675790084799487e9
algorithm2_13;trsv_2.25e+04;2.25e+04;tmp24 = (L15^-T tmp23);trsv!('L', 'T', 'N', ml3, ml4);1.675790084799487e9;1.675790084799501e9
algorithm3_12;LAPACK.potrf_3.33e+08;3.33e+08;(L2 L2^T) = M;LAPACK.potrf!('L', ml1);1.675790084805805e9;1.675790084807105e9
algorithm3_12;trsm_1.5e+08;1.5e+08;tmp12 = (L2^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.675790084807105e9;1.675790084807807e9
algorithm3_12;syrk_2.25e+07;2.25e+07;tmp14 = (tmp12^T tmp12);syrk!('L', 'T', 1.0, ml0, 0.0, ml3);1.675790084807807e9;1.675790084808074e9
algorithm3_12;trsv_1e+06;1e+06;tmp68 = (L2^-1 y);trsv!('L', 'N', 'N', ml1, ml2);1.675790084808074e9;1.675790084808257e9
algorithm3_12;LAPACK.potrf_1.12e+06;1.12e+06;(L15 L15^T) = tmp14;LAPACK.potrf!('L', ml3);1.675790084808257e9;1.675790084808387e9
algorithm3_12;gemv_3e+05;3e+05;tmp21 = (tmp12^T tmp68);gemv!('T', 1.0, ml0, ml2, 0.0, ml4);1.675790084808387e9;1.6757900848084e9
algorithm3_12;trsv_2.25e+04;2.25e+04;tmp23 = (L15^-1 tmp21);trsv!('L', 'N', 'N', ml3, ml4);1.6757900848084e9;1.675790084808405e9
algorithm3_12;trsv_2.25e+04;2.25e+04;tmp24 = (L15^-T tmp23);trsv!('L', 'T', 'N', ml3, ml4);1.675790084808405e9;1.675790084808412e9
algorithm5_11;LAPACK.potrf_3.33e+08;3.33e+08;(L2 L2^T) = M;LAPACK.potrf!('L', ml1);1.675790084813521e9;1.675790084814921e9
algorithm5_11;trsm_1.5e+08;1.5e+08;tmp12 = (L2^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.675790084814921e9;1.675790084815553e9
