case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm87;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L7 L7^T) = M;2023-02-06 18:47:00.623025
algorithm87;trsm_3e+08;3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L7^-1 X);2023-02-06 18:47:01.623025
algorithm87;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L7^-1 y);2023-02-06 18:47:02.623025
algorithm87;gemm_1.8e+08;1.8e+08;gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2023-02-06 18:47:03.623025
algorithm87;LAPACK.potrf_9e+06;9e+06;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2023-02-06 18:47:04.623025
algorithm87;trsm_9e+07;9e+07;trsm!('R', 'L', 'T', 'N', 1.0, ml3, ml0);tmp70 = (tmp12 L15^-T);2023-02-06 18:47:05.623025
algorithm87;gemv_6e+05;6e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp23 = (tmp70^T tmp68);2023-02-06 18:47:06.623025
algorithm87;trsv_9e+04;9e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2023-02-06 18:47:07.623025
algorithm83;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L7 L7^T) = M;2023-02-06 18:40:20.623025
algorithm83;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L7^-1 y);2023-02-06 18:40:21.623025
algorithm83;trsm_3e+08;3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L7^-1 X);2023-02-06 18:40:22.623025
algorithm83;syrk_9e+07;9e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2023-02-06 18:40:23.623025
algorithm83;LAPACK.potrf_9e+06;9e+06;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2023-02-06 18:40:24.623025
algorithm83;trsm_9e+07;9e+07;trsm!('R', 'L', 'T', 'N', 1.0, ml3, ml0);tmp70 = (tmp12 L15^-T);2023-02-06 18:40:25.623025
algorithm83;trsm_9e+07;9e+07;trsm!('R', 'L', 'N', 'N', 1.0, ml3, ml0);tmp72 = (tmp70 L15^-1);2023-02-06 18:40:26.623025
algorithm83;gemv_6e+05;6e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp24 = (tmp72^T tmp68);2023-02-06 18:40:27.623025
algorithm57;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L7 L7^T) = M;2023-02-06 17:57:00.623025
algorithm57;trsm_3e+08;3e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L7^-1 X);2023-02-06 17:57:01.623025
algorithm57;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L7^-1 y);2023-02-06 17:57:02.623025
algorithm57;gemv_6e+05;6e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml3);tmp21 = (tmp12^T tmp68);2023-02-06 17:57:03.623025
algorithm57;gemm_1.8e+08;1.8e+08;gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2023-02-06 17:57:04.623025
algorithm57;LAPACK.potrf_9e+06;9e+06;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2023-02-06 17:57:05.623025
algorithm57;trsv_9e+04;9e+04;trsv!('L', 'N', 'N', ml4, ml3);tmp23 = (L15^-1 tmp21);2023-02-06 17:57:06.623025
algorithm57;trsv_9e+04;9e+04;trsv!('L', 'T', 'N', ml4, ml3);tmp24 = (L15^-T tmp23);2023-02-06 17:57:07.623025
